Time,X,Y,Z
7.457051,0.09008396,0.6956155,0.4474291
7.467902,0.08684659,0.6956155,0.4566748
7.479142,0.08605635,0.6956155,0.4563175
7.490392,0.08487493,0.6956155,0.4552679
7.501402,0.0839535,0.6956155,0.4564282
7.512373,0.08523875,0.6956155,0.456384
7.523738,0.08446217,0.6956155,0.4542143
7.534572,0.08426809,0.6956155,0.4530187
7.545865,0.08502048,0.6956155,0.4531866
7.557074,0.08620977,0.6956155,0.4522493
7.568052,0.0869664,0.6956155,0.4518881
7.579226,0.08874112,0.6956155,0.4525168
7.59024,0.09062582,0.6956155,0.4535879
7.602678,0.09043545,0.6956155,0.4539505
7.612482,0.0912016,0.6956155,0.4537467
7.623619,0.09025073,0.6956155,0.4539159
7.634434,0.09094614,0.6956155,0.4531309
7.64555,0.09116936,0.6956155,0.4526599
7.656957,0.0896017,0.6956155,0.4521762
7.667674,0.08986306,0.6956155,0.4515522
7.679026,0.08879179,0.6956155,0.4507686
7.690181,0.08660543,0.6956155,0.4501334
7.701344,0.08719718,0.6956155,0.4506572
7.712175,0.08873367,0.6956155,0.4523648
7.723619,0.08862758,0.6956155,0.4520963
7.734493,0.08953601,0.6956155,0.4536299
7.745723,0.09115642,0.6956155,0.4536544
7.756724,0.08797157,0.6956155,0.4532151
7.767739,0.08698148,0.6956155,0.453807
7.77889,0.08660483,0.6956155,0.453393
7.790125,0.0678156,0.6956155,0.476591
7.801322,0.04837382,0.6017154,0.5569198
7.812296,-0.01604199,0.6017154,0.6060278
7.823462,-0.1520827,0.6976308,0.6737098
7.834457,-0.1704164,0.7060551,0.6621897
7.845602,-0.15704,0.6990259,0.6744542
7.856917,-0.1504711,0.6965009,0.6745373
7.867844,-0.1508221,0.6986344,0.6216451
7.87882,-0.1503278,0.6993204,0.6237504
7.889946,-0.1537874,0.7047998,0.641963
7.901119,-0.153844,0.704794,0.650602
7.912234,-0.1537633,0.7048019,0.6500842
7.923363,-0.1511995,0.7020508,0.6613055
7.934424,-0.1514668,0.7019939,0.6619031
7.945444,-0.1525095,0.7035714,0.6566495
7.956542,-0.1535977,0.7035974,0.6584922
7.967838,-0.1518741,0.7025829,0.6602443
7.97894,-0.1496433,0.70106,0.6625782
7.991028,-0.1479966,0.6999863,0.6636975
8.001056,-0.1503178,0.7015131,0.6619809
8.012366,-0.1516036,0.7027604,0.6590249
8.02466,-0.1522669,0.702868,0.6596549
8.034629,-0.1538456,0.7013848,0.6666326
8.045517,-0.08913663,0.6017154,0.7729232
8.057006,0.02162844,0.6627628,0.8514729
8.067803,0.05558431,0.698117,0.8568405
